Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/20/2020,8:00 AM,Andhra Pradesh,744532,6453,786050
10/20/2020,8:00 AM,Mizoram,2151,0,2280
10/20/2020,8:00 AM,Andaman and Nicobar Islands,3892,56,4126
10/20/2020,8:00 AM,Bihar,194005,1003,205945
10/20/2020,8:00 AM,Tamil Nadu,642152,10691,690936
10/20/2020,8:00 AM,Punjab,118767,4029,128103
10/20/2020,8:00 AM,Jharkhand,89780,842,96842
10/20/2020,8:00 AM,Odisha,249575,1152,270346
10/20/2020,8:00 AM,Haryana,139511,1648,151234
10/20/2020,8:00 AM,Chandigarh,12617,208,13686
10/20/2020,8:00 AM,Uttar Pradesh,418685,6685,456865
10/20/2020,8:00 AM,Delhi,304561,6040,333171
10/20/2020,8:00 AM,Sikkim,3276,62,3601
10/20/2020,8:00 AM,Goa,36914,549,40746
10/20/2020,8:00 AM,Telengana,202577,1282,224545
10/20/2020,8:00 AM,Madhya Pradesh,145421,2786,161203
10/20/2020,8:00 AM,Tripura,26748,331,29688
10/20/2020,8:00 AM,Jammu and Kashmir,78667,1388,88369
10/20/2020,8:00 AM,Uttarakhand,51900,933,58360
10/20/2020,8:00 AM,Gujarat,142662,3643,160560
10/20/2020,8:00 AM,West Bengal,284325,6119,325028
10/20/2020,8:00 AM,Rajasthan,152573,1760,175226
10/20/2020,8:00 AM,Maharashtra,1384879,42240,1601365
10/20/2020,8:00 AM,Assam,173213,875,201407
10/20/2020,8:00 AM,Puducherry,28520,575,33247
10/20/2020,8:00 AM,Himachal Pradesh,16270,272,19135
10/20/2020,8:00 AM,Karnataka,653829,10542,770604
10/20/2020,8:00 AM,Ladakh,4701,66,5647
10/20/2020,8:00 AM,Chhattisgarh,135259,1534,162772
10/20/2020,8:00 AM,Arunachal Pradesh,10780,30,13643
10/20/2020,8:00 AM,Nagaland,6273,27,7953
10/20/2020,8:00 AM,Manipur,11913,117,15778
10/20/2020,8:00 AM,Meghalaya,6392,75,8536
10/20/2020,8:00 AM,Kerala,252868,1182,346881
10/21/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3153,2,3194
10/21/2020,8:00 AM,Andhra Pradesh,749676,6481,789553
10/21/2020,8:00 AM,Andaman and Nicobar Islands,3902,56,4141
10/21/2020,8:00 AM,Bihar,195046,1011,207405
10/21/2020,8:00 AM,Mizoram,2165,0,2310
10/21/2020,8:00 AM,Tamil Nadu,646555,10741,694030
10/21/2020,8:00 AM,Punjab,119658,4037,128590
10/21/2020,8:00 AM,Jharkhand,90385,849,97414
10/21/2020,8:00 AM,Odisha,252197,1168,272250
10/21/2020,8:00 AM,Chandigarh,12724,209,13743
10/21/2020,8:00 AM,Haryana,140436,1660,152174
10/21/2020,8:00 AM,Uttar Pradesh,422024,6714,459154
10/21/2020,8:00 AM,Sikkim,3326,63,3643
10/21/2020,8:00 AM,Delhi,306747,6081,336750
10/21/2020,8:00 AM,Goa,37275,555,41031
10/21/2020,8:00 AM,Tripura,27013,332,29800
10/21/2020,8:00 AM,Madhya Pradesh,146860,2811,162178
10/21/2020,8:00 AM,Telengana,204388,1287,226124
10/21/2020,8:00 AM,Jammu and Kashmir,79437,1397,88958
10/21/2020,8:00 AM,Uttarakhand,52291,946,58601
10/21/2020,8:00 AM,Gujarat,143790,3651,161686
10/21/2020,8:00 AM,Rajasthan,155095,1774,177123
10/21/2020,8:00 AM,West Bengal,287707,6180,329057
10/21/2020,8:00 AM,Maharashtra,1392308,42453,1609516
10/21/2020,8:00 AM,Assam,174414,884,202073
10/21/2020,8:00 AM,Puducherry,28774,577,33452
10/21/2020,8:00 AM,Karnataka,662329,10608,776901
10/21/2020,8:00 AM,Himachal Pradesh,16487,274,19357
10/21/2020,8:00 AM,Ladakh,4787,67,5695
10/21/2020,8:00 AM,Chhattisgarh,137986,1584,165279
10/21/2020,8:00 AM,Arunachal Pradesh,11035,31,13778
10/21/2020,8:00 AM,Nagaland,6334,28,8020
10/21/2020,8:00 AM,Meghalaya,6497,76,8593
10/21/2020,8:00 AM,Manipur,12059,121,16062
10/21/2020,8:00 AM,Kerala,260243,1206,353472
10/22/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3161,2,3207
10/22/2020,8:00 AM,Andhra Pradesh,754415,6508,793299
10/22/2020,8:00 AM,Bihar,196240,1019,208377
10/22/2020,8:00 AM,Andaman and Nicobar Islands,3913,56,4168
10/22/2020,8:00 AM,Tamil Nadu,650856,10780,697116
10/22/2020,8:00 AM,Punjab,120220,4060,129088
10/22/2020,8:00 AM,Chandigarh,12842,209,13795
10/22/2020,8:00 AM,Odisha,254913,1181,274181
10/22/2020,8:00 AM,Mizoram,2174,0,2341
10/22/2020,8:00 AM,Jharkhand,91004,851,98061
10/22/2020,8:00 AM,Haryana,141506,1674,153367
10/22/2020,8:00 AM,Uttar Pradesh,425356,6755,461475
10/22/2020,8:00 AM,Sikkim,3361,63,3677
10/22/2020,8:00 AM,Goa,37683,557,41339
10/22/2020,8:00 AM,Delhi,310191,6128,340436
10/22/2020,8:00 AM,Tripura,27252,334,29925
10/22/2020,8:00 AM,Madhya Pradesh,148082,2828,163296
10/22/2020,8:00 AM,Telengana,206105,1292,227580
10/22/2020,8:00 AM,Uttarakhand,53061,960,59106
10/22/2020,8:00 AM,Jammu and Kashmir,80092,1402,89582
10/22/2020,8:00 AM,Gujarat,144970,3660,162823
10/22/2020,8:00 AM,Rajasthan,157960,1788,178933
10/22/2020,8:00 AM,Maharashtra,1415679,42633,1617658
10/22/2020,8:00 AM,West Bengal,291303,6244,333126
10/22/2020,8:00 AM,Assam,176078,889,202774
10/22/2020,8:00 AM,Puducherry,29016,580,33622
10/22/2020,8:00 AM,Karnataka,671618,10696,782773
10/22/2020,8:00 AM,Himachal Pradesh,16706,279,19621
10/22/2020,8:00 AM,Ladakh,4865,68,5781
10/22/2020,8:00 AM,Chhattisgarh,140216,1628,167639
10/22/2020,8:00 AM,Arunachal Pradesh,11199,31,13912
10/22/2020,8:00 AM,Nagaland,6428,28,8139
10/22/2020,8:00 AM,Meghalaya,6674,77,8621
10/22/2020,8:00 AM,Manipur,12297,124,16267
10/22/2020,8:00 AM,Kerala,267082,1232,361841
10/23/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3164,2,3213
10/23/2020,8:00 AM,Andhra Pradesh,758138,6524,796919
10/23/2020,8:00 AM,Bihar,197208,1026,209447
10/23/2020,8:00 AM,Andaman and Nicobar Islands,3937,57,4184
10/23/2020,8:00 AM,Tamil Nadu,655170,10825,700193
10/23/2020,8:00 AM,Punjab,121155,4072,129693
10/23/2020,8:00 AM,Chandigarh,12924,212,13848
10/23/2020,8:00 AM,Odisha,257041,1196,276094
10/23/2020,8:00 AM,Jharkhand,91629,859,98610
10/23/2020,8:00 AM,Haryana,142798,1688,154495
10/23/2020,8:00 AM,Uttar Pradesh,427937,6790,463858
10/23/2020,8:00 AM,Mizoram,2175,0,2359
10/23/2020,8:00 AM,Sikkim,3410,63,3727
10/23/2020,8:00 AM,Tripura,27502,339,30070
10/23/2020,8:00 AM,Goa,38031,564,41586
10/23/2020,8:00 AM,Delhi,312918,6163,344318
10/23/2020,8:00 AM,Madhya Pradesh,149353,2842,164341
10/23/2020,8:00 AM,Telengana,207326,1298,229001
10/23/2020,8:00 AM,Uttarakhand,53643,968,59508
10/23/2020,8:00 AM,Jammu and Kashmir,80802,1412,90166
10/23/2020,8:00 AM,Gujarat,146171,3667,163959
10/23/2020,8:00 AM,Rajasthan,160614,1800,180755
10/23/2020,8:00 AM,Maharashtra,1431856,42831,1625197
10/23/2020,8:00 AM,West Bengal,294911,6308,337283
10/23/2020,8:00 AM,Assam,177662,896,203282
10/23/2020,8:00 AM,Karnataka,684835,10770,788551
10/23/2020,8:00 AM,Puducherry,29211,582,33832
10/23/2020,8:00 AM,Himachal Pradesh,16937,284,19844
10/23/2020,8:00 AM,Ladakh,4902,68,5812
10/23/2020,8:00 AM,Chhattisgarh,143212,1680,170130
10/23/2020,8:00 AM,Arunachal Pradesh,11407,32,14077
10/23/2020,8:00 AM,Meghalaya,6981,78,8720
